year,month,state,district,fps_id,fps_name,summary_total_etransaction,summary_aadhaar_authenticated,summary_other_mode_authenticated,summary_non_authenticated,txn_phh_regular,txn_phh_intra_state,txn_phh_inter_state,txn_phh_total,txn_aay_regular,txn_aay_intra_state,txn_aay_inter_state,txn_aay_total,rc_phh_regular,rc_phh_intra_state,rc_phh_inter_state,rc_phh_total,rc_aay_regular,rc_aay_intra_state,rc_aay_inter_state,rc_aay_total,dty_wheat_regular,dty_wheat_intra_state,dty_wheat_inter_state,dty_wheat_total,dty_fortified_rice_regular,dty_fortified_rice_intra_state,dty_fortified_rice_inter_state,dty_fortified_rice_total,dty_rice_regular,dty_rice_intra_state,dty_rice_inter_state,dty_rice_total,dty_coarse_grains_regular,dty_coarse_grains_intra_state,dty_coarse_grains_inter_state,dty_coarse_grains_total,dty_barley_regular,dty_barley_intra_state,dty_barley_inter_state,dty_barley_total,dty_bajra_regular,dty_bajra_intra_state,dty_bajra_inter_state,dty_bajra_total,dty_maize_regular,dty_maize_intra_state,dty_maize_inter_state,dty_maize_total,dty_jowar_regular,dty_jowar_intra_state,dty_jowar_inter_state,dty_jowar_total,dty_ragi_regular,dty_ragi_intra_state,dty_ragi_inter_state,dty_ragi_total,dty_kodo_regular,dty_kodo_intra_state,dty_kodo_inter_state,dty_kodo_total,dty_total_regular,dty_total_intra_state,dty_total_inter_state,dty_total_total
2026,March,GOA,NORTH GOA,158500100001,SMT.SANNA SANJAY PADTE-83 FPS,143,143,0,0,143,0,0,143,0,0,0,0,143,0,0,143,0,0,0,0,0,0,0,0.0,3,0,0,3.0,3000,0,0,3000.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3000,0,0,3000.0
2026,March,GOA,NORTH GOA,158500100002,M/S P S KAREKAR-26 FPS,279,279,0,0,169,70,9,248,27,2,2,31,169,70,9,248,27,2,2,31,0,0,0,0.0,3.89,1.3,0.21,5.4,3890,1300,235,5425.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,3890,1300,235,5425.0
2026,March,GOA,NORTH GOA,158500100005,ARPORA NAGOA V K S S STY LTD-39 FPS,384,384,0,0,330,4,21,355,19,0,10,29,330,4,21,355,19,0,10,29,0,0,0,0.0,6.655,0.06,0.77,7.485,6655,60,770,7485.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,6655,60,770,7485.0
2026,March,GOA,NORTH GOA,158500100006,ASHOK P SHIRODKAR-103 FPS,28,28,0,0,27,0,0,27,1,0,0,1,27,0,0,27,1,0,0,1,0,0,0,0.0,0.49,0,0,0.49,490,0,0,490.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,490,0,0,490.0
2026,March,GOA,NORTH GOA,158500100007,ASHOK G DHARGALKAR-94 FPS,445,445,0,0,424,4,17,445,0,0,0,0,424,4,17,445,0,0,0,0,0,0,0,0.0,7.84,0.055,0.345,8.24,7840,55,345,8240.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,7840,55,345,8240.0
2026,March,GOA,NORTH GOA,158500100008,SANTOSH NAGESH PRABHU-74 FPS,142,142,0,0,135,0,0,135,7,0,0,7,135,0,0,135,7,0,0,7,0,0,0,0.0,2.44,0,0,2.44,2440,0,0,2440.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2440,0,0,2440.0
2026,March,GOA,NORTH GOA,158500100009,THE MAPUSA CONSUMER COOP STY-1& 2 FPS,507,507,0,0,464,6,7,477,29,0,1,30,464,6,7,477,29,0,1,30,0,0,0,0.0,10.525,0.125,0.14,10.79,10525,125,140,10790.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,10525,125,140,10790.0
2026,March,GOA,NORTH GOA,158500100011,SUBHASH DHARGALKAR-62 FPS,615,615,0,0,573,0,25,598,12,0,5,17,573,0,25,598,12,0,5,17,0,0,0,0.0,11.815,0,0.685,12.5,11815,0,685,12500.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,11815,0,685,12500.0
2026,March,GOA,NORTH GOA,158500100012,SAYUKTA B. KESARKAR-105 FPS,117,117,0,0,101,11,0,112,5,0,0,5,101,11,0,112,5,0,0,5,0,0,0,0.0,2.12,0.12,0,2.24,2120,120,0,2240.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2120,120,0,2240.0
2026,March,GOA,NORTH GOA,158500100013,PANDURANG V GOVEKAR-85 FPS,95,95,0,0,52,0,4,56,39,0,0,39,52,0,4,56,39,0,0,39,0,0,0,0.0,2.335,0,0.085,2.42,2335,0,85,2420.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2335,0,85,2420.0
